page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
14,64,reference_content,"74. Dirckx, N. et al. Vhl deletion in osteoblasts boosts cellular glycolysis and improves global glucose metabolism. J. Clin. Invest. 128, 1087–1105 (2018).","[610.0, 1200.0, 1123.0, 1231.0]",reference_item,0.85,"[""reference content label: 74. Dirckx, N. et al. Vhl deletion in osteoblasts boosts cel""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,65,reference_content,"75. Scheller, E. L., Cawthorn, W. P., Burr, A. A., Horowitz, M. C. & MacDougald, O. A. Marrow adipose tissue: trimming the fat. Trends Endocrinol. Metab. 27, 392–403 (2016).","[610.0, 1233.0, 1112.0, 1264.0]",reference_item,0.85,"[""reference content label: 75. Scheller, E. L., Cawthorn, W. P., Burr, A. A., Horowitz,""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,66,reference_content,"76. Baccin, C. et al. Combined single-cell and spatial transcriptomics reveal the molecular, cellular and spatial bone marrow niche organization. Nat. Cell Biol. 22, 38–48 (2020).","[610.0, 1266.0, 1111.0, 1297.0]",reference_item,0.85,"[""reference content label: 76. Baccin, C. et al. Combined single-cell and spatial trans""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,67,reference_content,"77. Zhong, L. et al. Single cell transcriptomics identifies a unique adipose lineage cell population that regulates bone marrow environment. Elife 9, e54695 (2020).","[610.0, 1298.0, 1083.0, 1328.0]",reference_item,0.85,"[""reference content label: 77. Zhong, L. et al. Single cell transcriptomics identifies ""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,68,reference_content,"78. Hu, Y. et al. RANKL from bone marrow adipose lineage cells promotes osteoclast formation and bone loss. EMBO Rep. 22, e52481 (2021).","[610.0, 1330.0, 1079.0, 1359.0]",reference_item,0.85,"[""reference content label: 78. Hu, Y. et al. RANKL from bone marrow adipose lineage cel""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,69,reference_content,"79. Yu, W. et al. Bone marrow adipogenic lineage precursors promote osteoclastogenesis in bone remodeling and pathologic bone loss. J. Clin. Invest 131, e140214 (2021).","[609.0, 1361.0, 1118.0, 1392.0]",reference_item,0.85,"[""reference content label: 79. Yu, W. et al. Bone marrow adipogenic lineage precursors ""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,70,reference_content,"80. Zhong, L. et al. Csf1 from marrow adipogenic precursors is required for osteoclast formation and hematopoiesis in bone. Elife 12, e82112 (2023).","[610.0, 1394.0, 1086.0, 1424.0]",reference_item,0.85,"[""reference content label: 80. Zhong, L. et al. Csf1 from marrow adipogenic precursors ""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,71,reference_content,"81. Zhou, B. O. et al. Bone marrow adipocytes promote the regeneration of stem cells and haematopoiesis by secreting SCF. Nat. Cell Biol. 19, 891–903 (2017).","[609.0, 1425.0, 1110.0, 1455.0]",reference_item,0.85,"[""reference content label: 81. Zhou, B. O. et al. Bone marrow adipocytes promote the re""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,72,reference_content,"82. Tencerova, M. et al. Metabolic programming determines the lineage-differentiation fate of murine bone marrow stromal progenitor cells. Bone Res. 7, 35 (2019).","[610.0, 1457.0, 1115.0, 1488.0]",reference_item,0.85,"[""reference content label: 82. Tencerova, M. et al. Metabolic programming determines th""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,73,footer,Nature Reviews Endocrinology | Volume 20 | July 2024 | 399–413,"[76.0, 1524.0, 556.0, 1543.0]",noise,0.9,"[""footer label""]",noise,0.9,,unknown_like,none,False,False
14,74,number,412,"[1093.0, 1525.0, 1126.0, 1542.0]",noise,0.9,"[""page number label""]",noise,0.9,,unknown_like,short_fragment,False,False
15,0,paragraph_title,Review article,"[77.0, 80.0, 307.0, 115.0]",noise,0.8,"[""running header: review article""]",noise,0.8,,heading_like,short_fragment,False,False
15,1,reference_content,"83. Li, Z. et al. Lipolysis of bone marrow adipocytes is required to fuel bone and the marrow niche during energy deficits. Elife 11, e78946 (2022).","[76.0, 224.0, 582.0, 256.0]",reference_item,0.85,"[""reference content label: 83. Li, Z. et al. Lipolysis of bone marrow adipocytes is req""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
15,2,reference_content,"84. Suchacki, K. J. et al. Bone marrow adipose tissue is a unique adipose subtype with distinct roles in glucose homeostasis. Nat. Commun. 11, 3097 (2020).","[76.0, 257.0, 550.0, 287.0]",reference_item,0.85,"[""reference content label: 84. Suchacki, K. J. et al. Bone marrow adipose tissue is a u""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
